User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment
Raju Kapoor,@rajukap,2019-01-19T08:35:35.000Z,"Raju Kapoor
@rajukap
·
Jan 19, 2019Replying to 
@CMOGuj
 @vijayrupanibjp
 and 6 others
Mr. Chief Minister, It was a pleasure meeting you. Appreciate your speed of action exhibited by you. Thanks. 
@USISPForum
 @vijayrupanibjp
 @FMCCorp
 @WesternWhit
3",,,3.0,positive
FMC Corporation,@FMCCorp,2019-01-18T18:47:01.000Z,"FMC Corporation
@FMCCorp
·
Jan 18, 2019‘Thank a Farmer’ video highlights the best parts of farming 
@AGDAILYMedia
 
https://buff.ly/2CrSWWm
1
8",,1.0,8.0,neutral
Bethwyn Todd,@BethwynTodd,2019-01-18T13:53:13.000Z,"Bethwyn Todd
@BethwynTodd
·
Jan 18, 2019Replying to 
@mohdirfanq
 @Saurin2344
 and 2 others
You got it!",,,,neutral
Mohammad irfan,@mohdirfanq,2019-01-18T13:49:59.000Z,"Mohammad irfan
@mohdirfanq
·
Jan 18, 2019Replying to 
@BethwynTodd
 @Saurin2344
 and 2 others
Roadmap to zero incident goals!
1
2",1.0,,2.0,neutral
Bethwyn Todd,@BethwynTodd,2019-01-18T13:22:18.000Z,"Bethwyn Todd
@BethwynTodd
·
Jan 18, 2019Very happy to see this! thank you 
@Saurin2344
 @OHeyaroslie
 @mohdirfanq
 @FMCCorp
Saurin
@Saurin2344
·
Jan 18, 2019
Safety first at FMC Malaysia - motorcycle safety riding trainings today @FMCCorp @OHeyaroslie @mohdirfanq
1
2
8",1.0,2.0,8.0,neutral
Saurin,@Saurin2344,2019-01-18T11:16:29.000Z,"Saurin
@Saurin2344
·
Jan 18, 2019Safety first at FMC Malaysia - motorcycle safety riding trainings today 
@FMCCorp
 @OHeyaroslie
 @mohdirfanq
4
4",,4.0,4.0,neutral
Corporate Counsel,@CorpCounsel,2019-01-17T20:45:09.000Z,"Corporate Counsel
@CorpCounsel
·
Jan 17, 2019Philadelphia-based FMC Corp. announced that Michael Reilly, one of the company's longtime in-house attorneys, has been tapped to be its next vice president, general counsel and secretary. http://ow.ly/XINJ30nm2Qa
1
1",,1.0,1.0,neutral
Javier Preciado Patiño,@jpreciadopatino,2019-01-16T03:06:09.000Z,"Javier Preciado Patiño
@jpreciadopatino
·
Jan 16, 2019It could be of your interest 
@CropLifeIntl
 @CropLifeAmerica
 @CropLife_La
 @FMCCorp
 @agbiotech
 @NewgroundAg
 @AgroFlanders
 @UKSustain
 @thefarmbabe
 @thinkbiotech
 @SuccessfulFarm
 @FarmJournal
 @OasisAB
 @FarmingAgricola
 @FFNAustralia
Efarm News Ar
@EfarmN
·
Jan 15, 2019
Argentina to ban the butyric esters of 2-4D herbicide http://efarmnewsar.com/2019-01-15/argentina-to-ban-the-butyric-esters-of-2-4d-herbicide.html…
1",,,1.0,neutral
無人機bot,@mujinbot,2019-01-16T00:19:20.000Z,"無人機bot
@mujinbot
·
Jan 16, 2019Mobile Remote Manipulator Unit。アメリカのFMC Corpおよび空軍研究所などが1960年代に開発してた装置の一つ。M113装甲兵員輸送車と同一のサスペンションやパワートレインを使う。遠隔操作に対応する。
1",,,1.0,neutral
Raju Kapoor,@rajukap,2019-01-16T00:05:37.000Z,"Raju Kapoor
@rajukap
·
Jan 16, 2019Replying to 
@amygoshea
 @FMCCorp
 and 
@FMCAgUS
Congratulations 
@amygoshea
1",,,1.0,neutral
Sharad Singh,@StormySharad,2019-01-15T17:02:03.000Z,"Sharad Singh
@StormySharad
·
Jan 15, 2019Carotenoids market predicted to reach $2,098 million by 2025
#carotenoids #marketresearch #IndustryNews 
@Cyanotech14
 @FMCCorp
 @KeminInd
 @ChrHansenAHN 
https://openpr.com/news/1496189/Carotenoids-market-predicted-to-reach-2-098-million-by-2025-Growth-drivers-and-trends-Competitive-Analysis-of-Leading-Manufacturers-Chr-Hansen-A-S-BASF-SE-Koninklijke-DSM-N-V-Cyanotech-Corporation-FMC-Corporation-DDW-The-Colour-House-Kemin-Ind.html…",,,,neutral
StocksPredictor,@StocksPredictr,2019-01-15T15:12:04.000Z,"StocksPredictor
@StocksPredictr
·
Jan 15, 2019FMC Corp (NYSE:FMC) Shares Sold by Sasco Capital Inc. CT https://ledgergazette.com/2018/03/14/fmc-corp-fmc-position-reduced-by-sasco-capital-inc-ct.html… $FL #stocks #stockmarket",,,,neutral
Raju Kapoor,@rajukap,2019-01-15T11:57:11.000Z,"Raju Kapoor
@rajukap
·
Jan 15, 2019Replying to 
@drharshvardhan
 @IndiaDST
 and 5 others
Never expected 
@DDNational
 to be so nimble. Way to go @DG_Doordarshan. Very proud of you. #science 
@FMCCorp",,,,neutral
Raju Kapoor,@rajukap,2019-01-15T10:57:38.000Z,"Raju Kapoor
@rajukap
·
Jan 15, 2019Thank you Chief Minster 
@Dev_Fadnavis
 for your proactive response to our 
@USISPForum
 delegation. This is what makes you as well as Maharashtra unique. 
@FMCCorp
 would like to partner the state in advancing farmer's welfare. Look fwd to follow up action from your team. #agriculture
2",,,2.0,neutral
FMC Corporation,@FMCCorp,2019-01-14T22:00:05.000Z,"FMC Corporation
@FMCCorp
·
Jan 14, 2019We are proud to sponsor this awesome event, and we hope to see you there tomorrow!
Top Producer Editor
@topproducermag
·
Jan 9, 2019
If you have a resolution to improve your farm business skills, join Top Producer in Chicago, Jan. 14-17. #TPSummit19 http://ow.ly/HBNk30neRQS
2",,,2.0,positive
StocksPredictor,@StocksPredictr,2019-01-14T21:04:04.000Z,"StocksPredictor
@StocksPredictr
·
Jan 14, 2019Highland Capital Management LP Has $16.71 Million Stake in FMC Corp (NYSE:FMC) https://dispatchtribunal.com/2018/03/14/highland-capital-management-lp-cuts-position-in-fmc-corp-fmc.html… $FMC #stocks #stockmarket",,,,negative
Industry Today,@IndustryToday,2019-01-14T15:51:50.000Z,"Industry Today
@IndustryToday
·
Jan 14, 2019Medical Grade Chitosan Market 2019 Size, Share, Growth, Trends and Forecast To 2025 | FMC Corp, Kitozyme, Kunpoong Bio, BIO21, Heppe Medical Chitosan, Yaizu Suisankagaku, Golden-Shell http://twib.in/l/XE6eMg7EBoB8 via 
@IndustryToday",,,,neutral
StocksPredictor,@StocksPredictr,2019-01-14T15:46:03.000Z,"StocksPredictor
@StocksPredictr
·
Jan 14, 2019Highland Capital Management LP Has $16.71 Million Stake in FMC Corp (FMC) https://stocknewstimes.com/2018/03/14/highland-capital-management-lp-reduces-holdings-in-fmc-corp-fmc.html… $FL #stocks #stockmarket",,,,neutral
InterCooler,@intercooleronli,2019-01-14T06:41:27.000Z,"InterCooler
@intercooleronli
·
Jan 14, 2019Pacer Advisors Inc. Raises Stake in FMC Corp (FMC)  https://modernreaders.com/news/2019/01/14/fmc-corp-fmc-holdings-raised-by-pacer-advisors-inc.html… #investingnews",,,,neutral
Bethwyn Todd,@BethwynTodd,2019-01-14T06:00:58.000Z,"Bethwyn Todd
@BethwynTodd
·
Jan 14, 2019Bird's eye view of 
@FMCCorp
 China team. Super-proud of this team!
2
10",,2.0,10.0,neutral
EnglistA,@EnglistA,2019-01-13T23:51:23.000Z,"EnglistA
@EnglistA
·
Jan 14, 2019FMC Corp (FMC) Receives Average Rating of “Buy” from Analysts - Modern Readers http://twib.in/l/rMGxe4XG7ynA via 
@EnglistA
 #英会話",,,,positive
FMC Corporation,@FMCCorp,2019-01-12T15:50:00.000Z,"FMC Corporation
@FMCCorp
·
Jan 12, 2019FMC had a successful week during the Soybean Leadership College event hosted by 
@ASA_Soybeans
!
American Soybean Association
@ASA_Soybeans
·
Jan 8, 2019
Mike Harper from @FMCCorp speaks during the Soybean Leadership College lunch on Tuesday.
8",,,8.0,positive
Transcript Daily,@TranscriptDaily,2019-01-12T01:40:29.000Z,"Transcript Daily
@TranscriptDaily
·
Jan 12, 2019Brokerages Anticipate FMC Corp $FMC Will Post Quarterly Sales of $1.17 Billion http://zpr.io/gnvBw",,,,neutral
REurope,@reurope_stock,2019-01-11T20:48:02.000Z,"REurope
@reurope_stock
·
Jan 11, 2019FMC Corp Sentiment Worsening on Low Stock Potential https://reurope.com/2019/01/11/fmc-corp-sentiment-worsening-on-low-stock-potential/…",,,,negative
Efarm News Ar,@EfarmN,2019-01-11T15:44:04.000Z,"Efarm News Ar
@EfarmN
·
Jan 11, 2019#FridayFeeling #Agriculture #Agrochemical #Business #EmergingMakets, FMC has a method to be successful in #SouthAmerica. A manager of 
@FMCCorp
 interview by us explain in examples. How #industry grow here, click: http://bit.ly/FMCXBusinessLatam…
1",,1.0,,neutral
Raju Kapoor,@rajukap,2019-01-11T03:47:10.000Z,"Raju Kapoor
@rajukap
·
Jan 11, 2019This is getting serious and 
@FMCCorp
 invites all partners to join us in our campaign against this #pest threatening #agriculture in developing world. More so in south Asia. #Coragen
CIMMYT
@CIMMYT
·
Jan 10, 2019
Only six months after #FallArmyworm was first seen in the continent, @FAO said the pest has been confirmed in #Bangladesh and #SriLanka after being first detected in #India in July.

https://bit.ly/2HdyaPw #FallArmyworm #FAW #entomology #maize #corn @Telegraph @CGIAR
1
3",,1.0,3.0,neutral
SR,@sry2k_in,2019-01-10T18:43:07.000Z,"SR
@sry2k_in
·
Jan 10, 2019Replying to 
@CropLifeIntl
 @Syngenta
 and 10 others
Great responsibilities taken up by companies...
2",,,2.0,neutral
MidEast Times,@midetimes,2019-01-10T14:52:10.000Z,"MidEast Times
@midetimes
·
Jan 10, 2019FMC Corp $FMC Receives $102.27 Average Target Price from Brokerages http://dailypolitical.com/?p=2635868 #stocks",,,,neutral
Daily Political,@dailypoliticaln,2019-01-10T14:52:08.000Z,"Daily Political
@dailypoliticaln
·
Jan 10, 2019FMC Corp $FMC Receives $102.27 Average Target Price from Brokerages http://dailypolitical.com/?p=2635868",,,,positive
Ticker Report,@TickerReport,2019-01-10T14:51:48.000Z,"Ticker Report
@TickerReport
·
Jan 10, 2019FMC Corp $FMC Receives Average Recommendation of “Buy” from Analysts http://tickerreport.com/?p=4068217",,,,neutral
FMC Corporation,@FMCCorp,2019-01-09T18:45:05.000Z,"FMC Corporation
@FMCCorp
·
Jan 9, 2019What are your intentions for #Plant19? 
https://buff.ly/2CVpOrC
1
5",,1.0,5.0,neutral
FMC Corporation,@FMCCorp,2019-01-09T18:25:07.000Z,"FMC Corporation
@FMCCorp
·
Jan 9, 2019We are proud to be a part of this great organization.
Harrison Weber
@harrison__weber
·
Jan 8, 2019
Huge shoutout to @BASF @FMCAgUS @farmcredit @REGbiofuels @UnitedSoy and the numerous QSSBs and Associations for continued support to @ASA_Soybeans Soybean Leadership College. Helping grow today’s leaders! #SoyLeaders
2
10",,2.0,10.0,positive
The Markets Daily,@TheMarketsDaily,2019-01-09T16:04:22.000Z,"The Markets Daily
@TheMarketsDaily
·
Jan 9, 2019$1.17 Billion in Sales Expected for FMC Corp $FMC This Quarter http://zpr.io/gPVvD",,,,neutral
InterCooler,@intercooleronli,2019-01-09T16:02:55.000Z,"InterCooler
@intercooleronli
·
Jan 9, 2019Zacks: Brokerages Expect FMC Corp (FMC) Will Announce Earnings of $1.39 Per Share  https://modernreaders.com/news/2019/01/09/zacks-brokerages-expect-fmc-corp-fmc-will-announce-earnings-of-1-39-per-share.html… #investingnews",,,,neutral
InterCooler,@intercooleronli,2019-01-09T16:02:53.000Z,"InterCooler
@intercooleronli
·
Jan 9, 2019$1.17 Billion in Sales Expected for FMC Corp (FMC) This Quarter  https://modernreaders.com/news/2019/01/09/1-17-billion-in-sales-expected-for-fmc-corp-fmc-this-quarter.html… #investingnews",,,,neutral
Watchlist News,@WatchlistN,2019-01-09T16:01:08.000Z,"Watchlist News
@WatchlistN
·
Jan 9, 2019$1.39 EPS Expected for FMC Corp $FMC This Quarter http://zpr.io/gPVek",,,,neutral
InterCooler,@intercooleronli,2019-01-09T12:10:27.000Z,"InterCooler
@intercooleronli
·
Jan 9, 2019FMC Corp (FMC) Shares Bought by Neuberger Berman Group LLC  https://modernreaders.com/news/2019/01/09/fmc-corp-fmc-shares-bought-by-neuberger-berman-group-llc.html… #investing",,,,neutral
PriceTarget Research Inc,@prctarget,2019-01-09T08:15:04.000Z,"PriceTarget Research Inc
@prctarget
·
Jan 9, 2019Alert: Positive Investment/Fundamental Signals (1/8/19)-FMC Corp. (NYSE: FMC) #StockAlert #FMC $FMC #PriceTarget #PositiveInvestment/FundamentalSignals https://pricetargetresearch.com/2019/01/08/alert-positive-investment-fundamental-signals-1-8-19-fmc-corp-nyse-fmc/…",,,,neutral
InterCooler,@intercooleronli,2019-01-09T06:03:12.000Z,"InterCooler
@intercooleronli
·
Jan 9, 2019First Republic Investment Management Inc. Trims Stake in FMC Corp (FMC)  https://modernreaders.com/news/2019/01/09/first-republic-investment-management-inc-sells-1292-shares-of-fmc-corp-fmc.html… #investing",,,,neutral
FMC Corporation,@FMCCorp,2019-01-08T22:00:49.000Z,"FMC Corporation
@FMCCorp
·
Jan 8, 2019Tomorrow, the 
@POTATOEXPO
 hits Austin. Are you ready? 
FMC will be in at booth 604 and in the innovation hall on January 10.
National Potato Council
@ThisSpudsForYou
·
Jan 8, 2019
The Potato Expo is just two days away! Get ready Austin 

@POTATOEXPO
2
3",,2.0,3.0,neutral
American Soybean Association,@ASA_Soybeans,2019-01-08T18:34:53.000Z,"American Soybean Association
@ASA_Soybeans
·
Jan 8, 2019Mike Harper from 
@FMCCorp
 speaks during the Soybean Leadership College lunch on Tuesday.
2
10",,2.0,10.0,neutral
Raju Kapoor,@rajukap,2019-01-08T16:24:02.000Z,"Raju Kapoor
@rajukap
·
Jan 8, 2019Replying to 
@FMCCorp
I do !!",,,,neutral
FMC Corporation,@FMCCorp,2019-01-08T12:17:02.000Z,"FMC Corporation
@FMCCorp
·
Jan 8, 2019Need a #NewYearsResolution? How about making a pledge to reduce food waste? Visit https://buff.ly/2N3sjyi for tips #NoTasteForWaste
1
1
5",1.0,1.0,5.0,neutral
Watchlist News,@WatchlistN,2019-01-08T09:21:00.000Z,"Watchlist News
@WatchlistN
·
Jan 8, 2019Analysts Set FMC Corp $FMC Price Target at $102.27 http://zpr.io/gP8Dq",,,,neutral
Efarm News Ar,@EfarmN,2019-01-07T14:54:12.000Z,"Efarm News Ar
@EfarmN
·
Jan 7, 2019#Business #Agricultuure #Fertilizers #Pesticides 
@FMCCorp
 Do you want to understand how is the story of #success of FMC in the south cone? We made an interview with a key manager in #LatinAmerica, click here to know more:  http://bit.ly/FMCXBusinessLatam…
5
5",,5.0,5.0,neutral
Ticker Report,@TickerReport,2019-01-07T12:58:17.000Z,"Ticker Report
@TickerReport
·
Jan 7, 2019Analysts Anticipate FMC Corp $FMC Will Announce Earnings of $1.39 Per Share http://tickerreport.com/?p=4062565",,,,neutral
MidEast Times,@midetimes,2019-01-07T12:56:24.000Z,"MidEast Times
@midetimes
·
Jan 7, 2019FMC Corp $FMC Expected to Announce Earnings of $1.39 Per Share http://dailypolitical.com/?p=2630145 #stocks",,,,neutral
Daily Political,@dailypoliticaln,2019-01-07T12:56:22.000Z,"Daily Political
@dailypoliticaln
·
Jan 7, 2019FMC Corp $FMC Expected to Announce Earnings of $1.39 Per Share http://dailypolitical.com/?p=2630145",,,,neutral
WKRB News,@WKRBNews,2019-01-07T12:56:14.000Z,"WKRB News
@WKRBNews
·
Jan 7, 2019Zacks: Analysts Expect FMC Corp $FMC Will Post Quarterly Sales of $1.17 Billion http://wkrb13.com/?p=816024 #markets",,,,neutral
Dakota Financial,@dakotafinancial,2019-01-07T12:56:12.000Z,"Dakota Financial
@dakotafinancial
·
Jan 7, 2019FMC Corp $FMC Expected to Announce Quarterly Sales of $1.17 Billion http://dakotafinancialnews.com/?p=749336",,,,neutral
FMC Corporation,@FMCCorp,2019-01-07T12:00:30.000Z,"FMC Corporation
@FMCCorp
·
Jan 7, 2019In a world where resistant weeds run rampant, FMC is bringing relief to corn, soybean and rice farmers by introducing a novel rice herbicide and a corn and soybean herbicide in the next five to ten years. Get the details at: https://buff.ly/2TtP51I 
@AgProfessional
 #Agriculture
6
10",,6.0,10.0,neutral
Bhagirath Choudhary,@BiotechCentre,2019-01-07T04:33:14.000Z,"Bhagirath Choudhary
@BiotechCentre
·
Jan 7, 2019We increasingly see this kind of pictures in Indian #Maize due to severe infestation of voracious pest #FallArmyworm-a nocturnal pest that invaded almost all Maize growing States in central and southern india 
@AgBioWorld
 @DBTIndia
 @icarindia
 @FMCCorp
 @corteva
 @Bayer4Crops
Rajeev Varshney
@rajvarshney
·
Jan 6, 2019
As they say, ""A picture is worth a thousand words"", it is very clear here! @SABCNewDelhi @PrinSciAdvGoI @RenuSwarup @DBTIndia @arvindpadhee @jai_amma @kksharmahyd @Poojabmathur twitter.com/AgBioWorld/sta…
1",,,1.0,neutral
Raju Kapoor,@rajukap,2019-01-07T00:50:06.000Z,"Raju Kapoor
@rajukap
·
Jan 7, 2019#FallArmyworm has hit the #millet #crops in #Telangana, #Karnataka and #Andhra in #India. Met the Director #IIMR Dr 
@VTonapi
 and team. 
@FMCCorp
 will work with IIMR to provide #farmers with #FAW solutions in India. #Coragen 
@icarindia
 @RadhamohanBJP
 @BethwynTodd
 @WesternWhit
2
6",,2.0,6.0,neutral
Money Making Articles Hot Stuff,@mmahotstuff1,2019-01-06T11:51:34.000Z,"Money Making Articles Hot Stuff
@mmahotstuff1
·
Jan 6, 2019FMC Corp Stock  as Institutional Investors Exit - https://mmahotstuff.com/2019/01/06/fmc-corp-stock-as-institutional-investors-exit.html…",,,,neutral
WhatsOnThorold,@whatsonthorold2,2019-01-06T11:51:25.000Z,"WhatsOnThorold
@whatsonthorold2
·
Jan 6, 2019FMC Corp Sentiment Worsening on Low Stock Potential - https://whatsonthorold.com/2019/01/06/fmc-corp-sentiment-worsening-on-low-stock-potential/…",,,,negative
REurope,@reurope_stock,2019-01-06T11:51:08.000Z,"REurope
@reurope_stock
·
Jan 6, 20190.93 is FMC Corp's $FMC Institutional Investor Sentiment https://reurope.com/2019/01/06/0-93-is-fmc-corps-nysefmc-institutional-investor-sentiment/…",,,,neutral
Enterprise Leader,@EnterpriseLeade,2019-01-05T22:30:45.000Z,"Enterprise Leader
@EnterpriseLeade
·
Jan 5, 2019FMC Corp $FMC Given Consensus Rating of “Buy” by Brokerages  http://theenterpriseleader.com/?p=1790828",,,,positive
Community Financial,@CFinancialNews,2019-01-05T22:29:36.000Z,"Community Financial
@CFinancialNews
·
Jan 5, 2019FMC Corp $FMC Receives Average Recommendation of “Buy” from Analysts http://americanbankingnews.com/?p=9156077 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-01-05T22:29:35.000Z,"US Banking News
@AmericanBanking
·
Jan 5, 2019FMC Corp $FMC Receives Average Recommendation of “Buy” from Analysts http://americanbankingnews.com/?p=9156077 #stocks",,,,neutral
StoutsvilleSeedShed,@RittingerSean,2019-01-05T13:15:00.000Z,"StoutsvilleSeedShed
@RittingerSean
·
Jan 5, 2019Replying to 
@TheChadColby
 and 
@FMCCorp
I always welcome new chemistry.  Bring it on boys, I don’t care who you are!
2",,,2.0,neutral
FMC Corporation,@FMCCorp,2019-01-04T20:10:01.000Z,"FMC Corporation
@FMCCorp
·
Jan 4, 2019We hope that you can join FMC next week during the 
@POTATOEXPO
! We're proud to be presenting at the Innovation Hub on January 10.
https://buff.ly/2s83YeD
1
4",,1.0,4.0,neutral
Chad E. Colby,@TheChadColby,2019-01-04T18:36:14.000Z,"Chad E. Colby
@TheChadColby
·
Jan 4, 2019This is very interesting  
@FMCCorp
  https://agprofessional.com/article/fmc-introduce-two-new-herbicide-modes-action-next-decade…
1
6
10",1.0,6.0,10.0,neutral
Investing.com Stocks,@InvestingStockz,2019-01-04T17:40:01.000Z,"Investing.com Stocks
@InvestingStockz
·
Jan 4, 2019FMC Corp, $FMC, is up 5% -
investing.com
FMC Stock Price Today | NYSE FMC Live Ticker - Investing.com
View today's FMC Corporation stock price and latest FMC news and analysis. Create real-time notifications to follow any changes in the live stock price.",,,,neutral
FMC Corporation,@FMCCorp,2019-01-04T13:05:01.000Z,"FMC Corporation
@FMCCorp
·
Jan 4, 2019FMC Corporation Announces Dates for Fourth Quarter 2018 Earnings Release and Webcast Conference Call. Call-in details available here: https://buff.ly/2CNFA8f
1
5",,1.0,5.0,neutral
Raju Kapoor,@rajukap,2019-01-04T08:19:37.000Z,"Raju Kapoor
@rajukap
·
Jan 4, 2019#FallArmyWorm is creating havoc with #corn crop in #Telangana state and other states in #India. 
@FMCCorp
 teams are supporting #farmers control this #pest. Visited large numbers of #RnD trials showing effective control. 
@BethwynTodd
 @AgriGoI
 @CropLifeIntl
 @RadhamohanBJP
 #coragen
4
15",,4.0,15.0,neutral
Community Financial,@CFinancialNews,2019-01-04T07:33:12.000Z,"Community Financial
@CFinancialNews
·
Jan 4, 2019FMC Corp $FMC Expected to Post Quarterly Sales of $1.17 Billion http://americanbankingnews.com/?p=9144841 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-01-04T07:33:11.000Z,"US Banking News
@AmericanBanking
·
Jan 4, 2019FMC Corp $FMC Expected to Post Quarterly Sales of $1.17 Billion http://americanbankingnews.com/?p=9144841 #stocks",,,,neutral
Bhagirath Choudhary,@BiotechCentre,2019-01-04T05:52:16.000Z,"Bhagirath Choudhary
@BiotechCentre
·
Jan 4, 2019#FallArmyworm- deadliest pest of Maize reaches #Murshidabad #Malda #WestBengal 
@PrinSciAdvGoI
 @DBTIndia
 @icarindia
 needs to wake up to ground reality, this invasive pest is a polyphagous, nocturnal crop-munching pest, will destroy food security 
@corteva
 @FMCCorp
 @Bayer4Crops
Manik Ghose
@manik05
·
Jan 4, 2019
Replying to @BiotechCentre
Havoc infestation in Nadia, Murshidabad, Malda districts of WB.",,,,negative
Community Financial,@CFinancialNews,2019-01-02T22:18:08.000Z,"Community Financial
@CFinancialNews
·
Jan 2, 2019$1.39 EPS Expected for FMC Corp $FMC This Quarter http://americanbankingnews.com/?p=9135477 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-01-02T22:18:06.000Z,"US Banking News
@AmericanBanking
·
Jan 2, 2019$1.39 EPS Expected for FMC Corp $FMC This Quarter http://americanbankingnews.com/?p=9135477 #stocks",,,,neutral
FMC Corporation,@FMCCorp,2019-01-02T21:10:03.000Z,"FMC Corporation
@FMCCorp
·
Jan 2, 2019Some #WednesdayWisdom from our partners 
@UnitedWayDE
.
United Way Delaware
@UnitedWayDE
·
Jan 2, 2019
#WednesdayWisdom #wednesdaythoughts #uwde #startswithu #Motivation
3",,,3.0,neutral
TheDailyScoop.com,@FarmersAdviser,2019-01-02T20:16:48.000Z,"TheDailyScoop.com
@FarmersAdviser
·
Jan 2, 2019The 2018 
@LaycoByYargus
 Rising Stars Class 
@agrianinc
 @SimplotCompany
 @CaroVail
 @FarmobileLLC
 @agtegra
 @CompassCrops 
@MFA_Inc
 @PremierAgEnergy
 @greenpointag
 @FMCCorp
 @RVCooperative
 @WilburEllisCo
    
 https://agprofessional.com/article/2018-rising-stars-class…
1
1",,1.0,1.0,neutral
FMC Corporation,@FMCCorp,2019-01-02T17:34:00.000Z,"FMC Corporation
@FMCCorp
·
Jan 2, 2019Hope that you are all ready for #Plant19? 
FMC Ag US
@FMCAgUS
·
Jan 1, 2019
The new year is here! Who’s getting excited for #Plant19? 
What crops will you be planting?
1
6",,1.0,6.0,neutral
Trybus,@trybusagro,2018-12-29T15:14:06.000Z,"Trybus
@trybusagro
·
Dec 29, 2018Mirá lo que nos cuenta 
@sebastianf2774
 , en nuestra jornada de manejo de #yuyocolorado, sobre las herramientas que tiene 
@FMCCorp
 para controlar esta maleza.
2
5",,2.0,5.0,neutral
Maximum Pest Control Services,@maxipestcontrol,2018-12-29T12:01:07.000Z,"Maximum Pest Control Services
@maxipestcontrol
·
Dec 29, 2018FMC Corp (NYSE:FMC) Quarterly Sentiment Report – Thorold News - Thorold News http://dlvr.it/QvZxX6",,,,neutral
Money Making Articles Hot Stuff,@mmahotstuff1,2018-12-29T11:41:37.000Z,"Money Making Articles Hot Stuff
@mmahotstuff1
·
Dec 29, 2018FMC Corp $FMC Sentiment Report - https://mmahotstuff.com/2018/12/29/fmc-corp-nysefmc-sentiment-report.html…",,,,neutral
WhatsOnThorold,@whatsonthorold2,2018-12-29T11:41:26.000Z,"WhatsOnThorold
@whatsonthorold2
·
Dec 29, 2018FMC Corp $FMC Quarterly Sentiment Report - https://whatsonthorold.com/2018/12/29/fmc-corp-nysefmc-quarterly-sentiment-report/…",,,,neutral
The Casual Smart,@The_CasualSmart,2018-12-29T11:41:16.000Z,"The Casual Smart
@The_CasualSmart
·
Dec 29, 2018FMC Corp $FMC Sentiment  Falls in  Q3 2018 https://cardinalweekly.com/fmc-corp-nysefmc-sentiment-falls-in-q3-2018/…",,,,negative
REurope,@reurope_stock,2018-12-29T11:40:52.000Z,"REurope
@reurope_stock
·
Dec 29, 2018FMC Corp $FMC Institutional Investors Sentiment Index  Dive in  2018 Q3 https://reurope.com/2018/12/29/fmc-corp-nysefmc-institutional-investors-sentiment-index-dive-in-2018-q3/…",,,,negative
FMC Corporation,@FMCCorp,2018-12-28T17:00:39.000Z,"FMC Corporation
@FMCCorp
·
Dec 28, 2018Want to work for FMC? We're looking for a Retail Market Manager - Southeast Nebraska at Remote/Virtual, US #Job...
social.icims.com
in
5
7",,5.0,7.0,neutral
Andy Brosman,@B9Andy,2018-12-28T12:23:25.000Z,"Andy Brosman
@B9Andy
·
Dec 28, 2018Global Chitosan Derivatives Market 2018 Top Trends: BIO21, Kitozyme, Kunpoong Bio and FMC Corp https://reportagestuff.com/global-chitosan-derivatives-market-gir/…",,,,neutral
WBC News,@latestupdate6,2018-12-28T02:00:27.000Z,"WBC News
@latestupdate6
·
Dec 28, 2018SQM vs. Albemarle vs. FMC Corp.: Which Had the Best Lithium Results in Q2? https://usauknews.com/sqm-vs-albemarle-vs-fmc-corp-which-had-the-finest-lithium-leads-to-q2/…",,,,positive
LOUIS WOOLF,@torvale1953,2018-12-27T15:00:40.000Z,"LOUIS WOOLF
@torvale1953
·
Dec 27, 2018EXPE EXPEDIA GROUP INC 04/27/2018 106.35 114.20
FCX FREEPORT-MCMORAN INC 01/25/2018 19.62 10.40
FDX FEDEX CORP 06/18/2014 140.31 160.15
FE FIRSTENERGY CORP 08/01/2018 35.43 36.60
FHN FIRST HORIZON NATIONAL CORP 02/23/2018 19.16 13.09
FMC FMC CORP 08/02/2017 82.09 73.44",,,,neutral
QY Research,@robertscholz03,2018-12-27T10:36:58.000Z,"QY Research
@robertscholz03
·
Dec 27, 2018Thickeners Market Global Share 2019 and Analysis: CP Kelco, ADM, FMC Corp and Ashland https://talkherald.com/global-thickeners-market-gir/…",,,,neutral
Stockflare US Page,@StockflareUS,2018-12-27T10:34:18.000Z,"Stockflare US Page
@StockflareUS
·
Dec 27, 2018$FMC: FMC Corp has lost a star, now a 4 star stock. (https://stockflare.com/stock/FMC)",,,,negative
The Casual Smart,@The_CasualSmart,2018-12-27T01:56:23.000Z,"The Casual Smart
@The_CasualSmart
·
Dec 27, 2018FMC CORP.  DL-,10 $FMQ Dips -2.29% on Dec 26 https://cardinalweekly.com/fmc-corp-dl-10-fmq-dips-2-29-on-dec-26/…",,,,negative
Dakota Financial,@dakotafinancial,2018-12-26T13:20:27.000Z,"Dakota Financial
@dakotafinancial
·
Dec 26, 2018FMC Corp $FMC to Issue Quarterly Dividend of $0.40 http://dakotafinancialnews.com/?p=729137",,,,neutral
WKRB News,@WKRBNews,2018-12-26T13:20:00.000Z,"WKRB News
@WKRBNews
·
Dec 26, 2018FMC Corp $FMC to Issue Quarterly Dividend of $0.40 on January 17th http://wkrb13.com/?p=795733 #markets",,,,neutral
